n,t_symbolic,t_true,delta_t_original,delta_t_corrected,abs_delta_corrected,correction_1,correction_2,correction_3,correction_4,correction_5,correction_6,correction_7,correction_8,correction_9
3602,5828.040014851695,1381.6226767128926,4446.417338138802,-35726.06222247102,35726.06222247102,-102.25674561706403,9193.81241147587,11798.963789147034,8451.635116229756,2848.692234285578,2160.8615008532333,4113.038999900353,387.49555161434125,1320.236702720728
3603,5829.658035368754,1381.9594576469608,4447.698577721793,-35724.77354258345,35724.77354258345,-102.26176666030783,9193.812924905806,11798.963785122834,8451.63389441728,2848.6943638775724,2160.859419324659,4113.040130762282,387.4937480878618,1320.235620467248
3604,5831.27605594656,1382.296228753004,4448.979827193556,-35723.48485486877,35723.48485486877,-102.2667863101608,9193.813438193234,11798.96378109958,8451.632672943368,2848.6964928783204,2160.857338373405,4113.041261309426,387.49194506174234,1320.2345385134195
3605,5832.894076585068,1382.6329900343076,4450.261086550761,-35722.19615932919,35722.19615932919,-102.271804567416,9193.813951338234,11798.963777077262,8451.63145180783,2848.6986212881507,2160.855257999153,4113.042391541957,387.4901425357079,1320.2334568590757
3606,5834.512097284239,1382.9697414941559,4451.542355790083,-35720.9074559669,35720.9074559669,-102.27682143282813,9193.81446434089,11798.963773055888,8451.630231010484,2848.70074910739,2160.85317820158,4113.043521460051,387.48834050948057,1320.2323755040504
3607,5836.130118044028,1383.3064831358301,4452.823634908198,-35719.61874478408,35719.61874478408,-102.28183690716463,9193.814977201275,11798.963769035456,8451.629010551134,2848.702876336368,2160.851098980368,4113.044651063884,387.4865389827825,1320.2312944481776
3608,5837.74813886439,1383.6432149626112,4454.104923901779,-35718.330025782896,35718.330025782896,-102.28685099121856,9193.815489919472,11798.96376501596,8451.627790429598,2848.70500297541,2160.849020335198,4113.045780353627,387.484737955336,1320.2302136912924
3609,5839.366159745285,1383.9799369777763,4455.386222767508,-35717.04129896553,35717.04129896553,-102.29186368575739,9193.816002495556,11798.963760997405,8451.62657064569,2848.707129024843,2160.846942265748,4113.046909329458,387.4829374268673,1320.2291332332295
3610,5840.984180686668,1384.3166491846011,4456.667531502067,-35715.75256433418,35715.75256433418,-102.2968749915358,9193.816514929607,11798.963756979787,8451.62535119922,2848.7092544849957,2160.844864771705,4113.048037991549,387.48113739709714,1320.2280530738228
3611,5842.602201688497,1384.6533515863596,4457.948850102138,-35714.46382189102,35714.46382189102,-102.30188490932126,9193.817027221705,11798.963752963109,8451.624132090003,2848.7113793561925,2160.842787852743,4113.049166340074,387.47933786575186,1320.226973212907
3612,5844.220222750728,1384.9900441863238,4459.230178564404,-35713.17507163824,35713.17507163824,-102.30689343989404,9193.817539371928,11798.963748947368,8451.62291331785,2848.7135036387613,2160.840711508547,4113.050294375209,387.4775388325522,1320.225893650317
3613,5845.838243873319,1385.3267269877629,4460.5115168855555,-35711.886313577976,35711.886313577976,-102.31190058403438,9193.818051380355,11798.963744932566,8451.621694882579,2848.715627333027,2160.8386357388026,4113.051422097125,387.47574029722597,1320.2248143858892
3614,5847.4562650562275,1385.6633999939452,4461.7928650622825,-35710.59754771246,35710.59754771246,-102.31690634247138,9193.818563247063,11798.9637409187,8451.620476783999,2848.7177504393158,2160.8365605431854,4113.052549505998,387.47394225949523,1320.223735419457
3615,5849.074286299408,1386.000063208136,4463.074223091273,-35709.30877404381,35709.30877404381,-102.3219107160109,9193.81907497213,11798.963736905771,8451.619259021925,2848.7198729579522,2160.8344859213817,4113.053676602,387.4721447190849,1320.2226567508558
3616,5850.692307602821,1386.3367166335997,4464.35559096922,-35708.019992574256,35708.019992574256,-102.32691370539482,9193.819586555639,11798.963732893775,8451.618041596173,2848.721994889263,2160.8324118730716,4113.054803385306,387.4703476757213,1320.2215783799222
3617,5852.310328966422,1386.6733602735974,4465.636968692825,-35706.73120330592,35706.73120330592,-102.33191531140339,9193.820097997661,11798.963728882718,8451.616824506558,2848.7241162335713,2160.830338397941,4113.055929856087,387.46855112912795,1320.2205003064907
3618,5853.928350390167,1387.009994131389,4466.918356258778,-35705.44240624102,35705.44240624102,-102.3369155347913,9193.820609298282,11798.963724872594,8451.61560775289,2848.726236991203,2160.828265495672,4113.057056014518,387.4667550790312,1320.219422530398
3619,5855.546371874014,1387.3466182102325,4468.199753663781,-35704.15360138169,35704.15360138169,-102.34191437632602,9193.821120457575,11798.963720863405,8451.614391334986,2848.728357162482,2160.8261931659467,4113.05818186077,387.46495952515596,1320.2183450514797
3620,5857.164393417921,1387.6832325133835,4469.481160904537,-35702.86478873012,35702.86478873012,-102.346911836775,9193.82163147562,11798.96371685515,8451.613175252663,2848.730476747732,2160.824121408451,4113.059307395016,387.4631644672285,1320.2172678695708
3621,5858.782415021845,1388.0198370440953,4470.76257797775,-35701.57596828845,35701.57596828845,-102.35190791690574,9193.822142352494,11798.96371284783,8451.611959505728,2848.7325957472776,2160.8220502228687,4113.060432617431,387.4613699049752,1320.216190984508
3622,5860.400436685741,1388.3564318056206,4472.04400488012,-35700.28714005891,35700.28714005891,-102.35690261746011,9193.822653088273,11798.963708841442,8451.610744094005,2848.734714161442,2160.819979608881,4113.061557528185,387.4595758381222,1320.215114396128
3623,5862.018458409568,1388.6930168012082,4473.32544160836,-35698.9983040436,35698.9983040436,-102.3618959392056,9193.82316368304,11798.963704835985,8451.609529017303,2848.736831990548,2160.8179095661753,4113.062682127451,387.45778226639584,1320.214038104267
3624,5863.636480193283,1389.029592034106,4474.606888159177,-35697.70946024471,35697.70946024471,-102.36688788292241,9193.823674136871,11798.963700831462,8451.608314275441,2848.7389492349193,2160.815840094435,4113.063806415402,387.4559891895226,1320.2129621087608
3625,5865.254502036843,1389.3661575075603,4475.888344529283,-35696.42060866442,35696.42060866442,-102.3718784493525,9193.824184449843,11798.96369682787,8451.607099868233,2848.7410658948775,2160.8137711933464,4113.064930392208,387.4541966072299,1320.2118864094477
3626,5866.872523940206,1389.7027132248147,4477.169810715391,-35695.13174930487,35695.13174930487,-102.3768676392633,9193.824694622032,11798.963692825211,8451.605885795494,2848.7431819707463,2160.8117028625943,4113.066054058044,387.45240451924553,1320.2108110061627
3627,5868.490545903327,1390.0392591891111,4478.451286714216,-35693.84288216825,35693.84288216825,-102.38185545340949,9193.825204653516,11798.963688823482,8451.60467205704,2848.7452974628472,2160.8096351018658,4113.06717741308,387.4506129252958,1320.2097358987432
3628,5870.108567926165,1390.375795403689,4479.732772522476,-35692.554007256665,35692.554007256665,-102.38684189255855,9193.825714544375,11798.963684822682,8451.603458652682,2848.747412371503,2160.807567910843,4113.068300457487,387.4488218251084,1320.2086610870267
3629,5871.726590008677,1390.712321871786,4481.014268136891,-35691.265124572354,35691.265124572354,-102.39182695745237,9193.826224294688,11798.963680822813,8451.602245582246,2848.749526697034,2160.8055012892146,4113.069423191438,387.4470312184123,1320.2075865708505
3630,5873.34461215082,1391.0488385966385,4482.295773554181,-35689.9762341174,35689.9762341174,-102.3968106488712,9193.826733904527,11798.963676823872,8451.601032845543,2848.751640439763,2160.803435236664,4113.070545615102,387.4452411049338,1320.206512350051
3631,5874.9626343525515,1391.3853455814801,4483.577288771072,-35688.68733589402,35688.68733589402,-102.40179296754414,9193.827243373973,11798.963672825861,8451.599820442387,2848.75375360001,2160.8013697528836,4113.071667728652,387.4434514844034,1320.2054384244675
3632,5876.580656613828,1391.7218428295428,4484.858813784285,-35687.39842990434,35687.39842990434,-102.40677391425145,9193.827752703104,11798.96366882878,8451.598608372595,2848.7558661780963,2160.7993048375547,4113.07278953226,387.44166235654876,1320.2043647939356
3633,5878.198678934607,1392.0583303440567,4486.14034859055,-35686.109516150515,35686.109516150515,-102.41175348973502,9193.828261891995,11798.963664832625,8451.597396635987,2848.7579781743425,2160.7972404903658,4113.073911026094,387.43987372109746,1320.2032914582937
3634,5879.816701314848,1392.3948081282492,4487.421893186598,-35684.820594634715,35684.820594634715,-102.41673169474953,9193.828770940723,11798.963660837398,8451.596185232378,2848.760089589069,2160.795176711007,4113.075032210328,387.43808557778004,1320.2022184173802
3635,5881.434723754504,1392.7312761853466,4488.703447569158,-35683.53166535907,35683.53166535907,-102.42170853006245,9193.829279849366,11798.963656843098,8451.594974161586,2848.7622004225955,2160.793113499162,4113.0761530851305,387.43629792632544,1320.201145671032
3636,5883.0527462535365,1393.067734518573,4489.985011734963,-35682.24272832578,35682.24272832578,-102.42668399640287,9193.829788618004,11798.963652849727,8451.593763423425,2848.764310675243,2160.7910508545206,4113.077273650672,387.4345107664614,1320.2000732190886
